Model ID,Field,Full Current Content (from JSON),SEO Optimized Version (KHON2),Additional Notes
LW6023IVSM,Product Name,"LG Dual Inverter 6,000 BTU (LW6023IVSM)",,
LW6023IVSM,Performance Tag,44dB Ultra-Quiet Mode,,
LW6023IVSM,Key Spec,Ultra-Quiet Mode: Designed for bedroom sanctuaries.,,
LW6023IVSM,Coverage,100–200 sq. ft. (Small Bedroom/Office),,
,,,,
LW8022IVSM,Product Name,"LG Dual Inverter 8,000 BTU (LW8022IVSM)",,
LW8022IVSM,Performance Tag,ThinQ® Smart Control,,
LW8022IVSM,Key Spec,ThinQ® Smart Integration: Precision remote climate control.,,
LW8022IVSM,Coverage,100–200 sq. ft. (Small Bedroom/Office),,
,,,,
LW1022IVSM,Product Name,"LG Dual Inverter 10,000 BTU (LW1022IVSM)",,
LW1022IVSM,Performance Tag,2024 ENERGY STAR® Most Efficient,,
LW1022IVSM,Key Spec,2024 ENERGY STAR® Most Efficient,,
LW1022IVSM,Coverage,200–250 sq. ft. (Master / Studio),,
,,,,
LW1222IVSM,Product Name,"LG Dual Inverter 12,000 BTU (LW1222IVSM)",,
LW1222IVSM,Performance Tag,Gold Fin™ Anti-Corrosive Coating,,
LW1222IVSM,Key Spec,Gold Fin™ Coating: Industrial-grade salt-air protection.,,
LW1222IVSM,Coverage,200–250 sq. ft. (Master / Studio),,
,,,,
LW1522IVSM,Product Name,"LG Dual Inverter 14,000 BTU (LW1522IVSM)",,
LW1522IVSM,Performance Tag,4-Way Air Directional Control,,
LW1522IVSM,Key Spec,High-Torque Compressor: Rapid moisture removal in large rooms.,,
LW1522IVSM,Coverage,250–350 sq. ft. (Living / Large Master),,
,,,,
LW1822IVSM,Product Name,"LG Dual Inverter 18,000 BTU (LW1822IVSM)",,
LW1822IVSM,Performance Tag,High-Capacity Moisture Removal,,
LW1822IVSM,Key Spec,Maximum Vertical Momentum: For vaulted ceilings.,,
LW1822IVSM,Coverage,400+ sq. ft. (Open Floor Plan),,
,,,,
LW2422IVSM,Product Name,"LG Dual Inverter 23,500 BTU (LW2422IVSM)",,
LW2422IVSM,Performance Tag,Industrial-Grade Titan Cooling,,
LW2422IVSM,Key Spec,Maximum Moisture Management and Cooling.,,
LW2422IVSM,Coverage,400+ sq. ft. (Industrial Scale Open Plan),,
,,,,
LW8023HRSM,Product Name,"LG 7,600 BTU (LW8023HRSM)",,
LW8023HRSM,Performance Tag,Dual-Climate,,
LW8023HRSM,Key Spec,"Dual-Climate Optimization: Precision 7,000 BTU Heating.",,
LW8023HRSM,Coverage,100–200 sq. ft. (Small Bedroom/Office),,
,,,,
LW1823HRSM,Product Name,"LG 17,500 BTU (LW1823HRSM)",,
LW1823HRSM,Performance Tag,ThinQ® Smart Control,,
LW1823HRSM,Key Spec,High-Capacity Moisture Removal: 4.8 Pts/Hr extraction.,,
LW1823HRSM,Coverage,400+ sq. ft. (Open Floor Plan),,
,,,,
LW2423HRSM,Product Name,"LG 23,000 BTU (LW2423HRSM)",,
LW2423HRSM,Performance Tag,Industrial-Grade Cooling & Heating,,
LW2423HRSM,Key Spec,"Supplemental 12,000 BTU Heating capacity.",,
LW2423HRSM,Coverage,400+ sq. ft. (Industrial Scale Open Plan),,
,,,,
LW8024RD,Product Name,"LG 8,000 BTU (LW8024RD)",,
LW8024RD,Performance Tag,High-Velocity Airflow,,
LW8024RD,Key Spec,Rapid Cool Start: High-torque tropical cycle.,,
LW8024RD,Coverage,100–200 sq. ft. (Bedroom/Office),,
,,,,
LW1217ERSM1,Product Name,"LG 12,000 BTU (LW1217ERSM1)",,
LW1217ERSM1,Performance Tag,ThinQ® Smart Control,,
LW1217ERSM1,Key Spec,Gold Fin™ Anti-Corrosive Shield.,,
LW1217ERSM1,Coverage,200–250 sq. ft. (Master/Studio),,
,,,,
AJCQ08AWJ,Product Name,"GE 8,200 BTU (AJCQ08AWJ)",,
AJCQ08AWJ,Performance Tag,True Universal Fit,,
AJCQ08AWJ,Key Spec,"Designed to slide directly into existing 26"" wall sleeves.",,
AJCQ08AWJ,Coverage,100–200 sq. ft.,,
,,,,
AJCQ10AWJ,Product Name,"GE 10,000 BTU (AJCQ10AWJ)",,
AJCQ10AWJ,Performance Tag,High-Velocity Airflow,,
AJCQ10AWJ,Key Spec,Engineered with high-torque fans to maximize air throw.,,
AJCQ10AWJ,Coverage,200–250 sq. ft.,,
,,,,
AJCQ12AWJ,Product Name,"GE 12,000 BTU (AJCQ12AWJ)",,
AJCQ12AWJ,Performance Tag,Power Failure Recovery,,
AJCQ12AWJ,Key Spec,Automatically restarts at previous settings after outages.,,
AJCQ12AWJ,Coverage,200–250 sq. ft.,,
,,,,
RAB26A,Product Name,GE RAB26A Wall Casement,,
RAB26A,Performance Tag,Quick Snap Assembly,,
RAB26A,Key Spec,Baked enamel finish galvanized steel. Includes RAG13A Grille.,,
RAB26A,Coverage,"Universal 26"" Standard",,
