Page Section,Field Name,Current Content,SEO Optimized Version (KHON2),Additional Notes
Section Header,Title Prefix,Our Core,,
Section Header,Title Highlight,Services,,
,,,,
Service Card 1,Title,Mini Split AC,,
Service Card 1,Description,"Whisper-quiet, ductless cooling for ultimate efficient comfort in any room.",,
,,,,
Service Card 2,Title,Window AC Store,,
Service Card 2,Description,Browse our massive inventory of LG & GE units.,,
,,,,
Service Card 3,Title,Mini Split AC Maintenance,,
Service Card 3,Description,Deep cleaning and professional service to keep your ductless system mold-free and efficient.,,
,,,,
Service Card 4,Title,Window AC Maintenance,,
Service Card 4,Description,Cleaning to restore efficiency and air quality.,,
,,,,
Global UI,CTA Button Text,Learn More,,
