Page Section,Field,Full Current Content (from JSON),SEO Optimized Version (KHON2),Additional Notes
Hero,Title,Deep Cleaning,,
Hero,Description,This complete service covers every part of a window unit. Deep cleaning removes hidden dirt and mold to keep the air fresh. A clean machine runs better and feels like new again.,,
Phase 1,Title,Phase 1: Removal and Disassembly,,
Phase 1,Description,Safe removal from the window casing starts the process. Technicians take off the metal shell to reach the internal coils and fan. Every wire stays covered or disconnected to keep the electrical parts dry and safe.,,
Phase 2,Title,Phase 2: Deep Cleaning,,
Phase 2,Description,A specialized soap breaks down stubborn grease and dirt on the coils. Scrubbing the fan assembly gets rid of dust and mold. Fresh water and a germ-killing spray leave the entire unit clean and healthy.,,
Phase 3,Title,Phase 3: Drainage and Clearing,,
Phase 3,Description,"Thoroughly cleaning the blower wheel, compressor, motor, and evaporator coil restores peak efficiency. Clear drain holes prevent water from leaking into the home, while cleaning the bottom pan removes all hidden dirt and clogs.",,
Phase 4,Title,Phase 4: Testing and Re-Install,,
Phase 4,Description,Every part gets dried before the unit goes back together. A full test makes sure the fan and drains work perfectly. The AC then returns to the window for a secure fit.,,
