Page Section,Element,Current Content (Hardcoded),SEO Optimized Version (KHON2),Additional Notes
Page Header,Title,Mini Split AC,,
Page Header,Subtitle,Discover the perfect cooling solution for your home with our top-rated brands.,,
,,,,
Brand 1: Fujitsu,Name,FUJITSU,,
Brand 1: Fujitsu,Description,"Fujitsu units are like the quiet heroes of your home. They work very hard to keep you cool without making a lot of noise. These systems are great because they save a lot of energy, which means your power bill stays low. We love them because they last a long time and are very easy to use every single day.",,
Brand 1: Fujitsu,CTA Button,Schedule Free In-Home Estimate,,
,,,,
Brand 2: Mitsubishi,Name,MITSUBISHI ELECTRIC,,
Brand 2: Mitsubishi,Description,"Mitsubishi is a name people really trust for keeping their air perfect. These units use smart technology to find the hot spots in a room and fix them right away. They are built to be very tough, so you do not have to worry about them breaking down. When you pick this brand, you are picking a system that stays strong for years.",,
Brand 2: Mitsubishi,CTA Button,Schedule Free In-Home Estimate,,
,,,,
Brand 3: Daikin,Name,DAIKIN,,
Brand 3: Daikin,Description,"Daikin makes some of the smartest AC units in the world. They focus on making sure the air in your house feels just right, never too hot and never too cold. These systems are very good for the planet because they use less power to do a big job. They are a wonderful choice if you want a reliable system that is simple to take care of.",,
Brand 3: Daikin,CTA Button,Schedule Free In-Home Estimate,,
,,,,
Brand 4: Carrier,Name,CARRIER,,
Brand 4: Carrier,Description,"Carrier is the brand that started it all, and they are still great today. Their mini split units are powerful and can cool down a room very fast. They are designed to fit perfectly into any home without taking up too much space. If you want a system that is simple, strong, and classic, this is the one for you.",,
Brand 4: Carrier,CTA Button,Schedule Free In-Home Estimate,,
