id,name,price,category,stock,image_url,btu,voltage,coverage,performance_specs,key_spec,noise_level,dehumidification
4,LG Dual Inverter 6,000 BTU (LW6023IVSM),540,WINDOW_AC,30,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW6023IVSM.svg,6000,115V / 15 Amp,100–200 sq. ft. (Small Bedroom/Office),44dB Ultra-Quiet Mode,Ultra-Quiet Mode: Designed for bedroom sanctuaries.,44 / 56 dB,2.3 Pts/Hr
5,LG Dual Inverter 8,000 BTU (LW8022IVSM),575,WINDOW_AC,50,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW8022IVSM.svg,8000,115V / 15 Amp,100–200 sq. ft. (Small Bedroom/Office),ThinQ® Smart Control,ThinQ® Smart Integration: Precision remote climate control.,44 / 58 dB,2.8 Pts/Hr
6,LG Dual Inverter 10,000 BTU (LW1022IVSM),625,WINDOW_AC,50,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1022IVSM.svg,10000,115V / 15 Amp,200–250 sq. ft. (Master / Studio),2024 ENERGY STAR® Most Efficient,2024 ENERGY STAR® Most Efficient,44 / 59 dB,3.3 Pts/Hr
7,LG Dual Inverter 12,000 BTU (LW1222IVSM),700,WINDOW_AC,50,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1222IVSM.svg,12000,115V / 15 Amp,200–250 sq. ft. (Master / Studio),Gold Fin™ Anti-Corrosive Coating,Gold Fin™ Coating: Industrial-grade salt-air protection.,44 / 59 dB,3.8 Pts/Hr
8,LG Dual Inverter 15,000 BTU (LW1522IVSM),750,WINDOW_AC,50,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1522IVSM.svg,15000,115V / 15 Amp,250–350 sq. ft. (Living / Large Master),4-Way Air Directional Control,High-Torque Compressor: Rapid moisture removal in large rooms.,52 / 62 dB,4.4 Pts/Hr
9,LG Dual Inverter 18,000 BTU (LW1822IVSM),875,WINDOW_AC,30,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1822IVSM.svg,18000,208/230V / 20 Amp,400+ sq. ft. (Open Floor Plan),High-Capacity Moisture Removal,Maximum Vertical Momentum: For vaulted ceilings.,52 / 63 dB,5.5 Pts/Hr
10,LG Dual Inverter 24,000 BTU (LW2422IVSM),975,WINDOW_AC,20,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW2422IVSM.svg,23500,208/230V / 20 Amp,400+ sq. ft. (Industrial Scale Open Plan),Industrial-Grade Titan Cooling,Maximum Moisture Management and Cooling.,53 / 64 dB,7.1 Pts/Hr
11,LG Universal Fit / Through The Wall 8,000 BTU (LW8023HRSM),650,WINDOW_AC,40,/assets/window-unit-images/lg-universal-fit-unit-photos-1600x1000/LW8023HRSM.svg,8000,115V / 15 Amp,100–200 sq. ft. (Small Bedroom/Office),Dual-Climate,"Dual-Climate Optimization: Precision 7,000 BTU Heating.",53 / 58 dB,2.1 Pts/Hr
12,LG Universal Fit / Through The Wall 18,000 BTU (LW1823HRSM),875,WINDOW_AC,25,/assets/window-unit-images/lg-universal-fit-unit-photos-1600x1000/LW1823HRSM.svg,18000,208/230V / 20 Amp,400+ sq. ft. (Open Floor Plan),ThinQ® Smart Control,High-Capacity Moisture Removal: 4.8 Pts/Hr extraction.,56 / 62 dB,4.8 Pts/Hr
13,LG Universal Fit / Through The Wall 24,000 BTU (LW2423HRSM),975,WINDOW_AC,20,/assets/window-unit-images/lg-universal-fit-unit-photos-1600x1000/LW2423HRSM.svg,23500,208/230V / 20 Amp,400+ sq. ft. (Industrial Scale Open Plan),Industrial-Grade Cooling & Heating,Supplemental 12,000 BTU Heating capacity.,58 / 64 dB,6.8 Pts/Hr
14,LG 8,000 BTU (LW8024RD),395,WINDOW_AC,20,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW8024RD.svg,8000,115V / 15 Amp,100–200 sq. ft. (Bedroom/Office),High-Velocity Airflow,Rapid Cool Start: High-torque tropical cycle.,54 / 58 dB,2.1 Pts/Hr
15,LG 10,000 BTU (LW1017ERSM1),525,WINDOW_AC,20,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1017ERSM1.svg,10000,115V / 15 Amp,200–250 sq. ft. (Master/Studio),ThinQ® Smart Control,Smart Diagnosis™: Integrated system verification.,52 / 59 dB,3.0 Pts/Hr
16,LG 12,000 BTU (LW1217ERSM1),600,WINDOW_AC,20,/assets/window-unit-images/lg-units/lg-dual-inverter-unit-photos-1600x1000/LW1217ERSM1.svg,12000,115V / 15 Amp,200–250 sq. ft. (Master/Studio),ThinQ® Smart Control,Gold Fin™ Anti-Corrosive Shield.,52 / 59 dB,3.8 Pts/Hr
