Page Section,Field Name,Full Current Content (from JSON),SEO Optimized Version (KHON2),Additional Notes
Basic Service,Title,Basic Mini Split AC Cleaning,,
Basic Service,Description,This is our routine check-up. We wash the filters and the outside coils to keep the air cold. We also flush the drains and check the system heat and pressure. It is a great way to keep your unit running well.,,
Basic Service,Checklist Item 1,"Clean/Wash air filters, housings, louvers, vanes, and condenser coil",,
Basic Service,Checklist Item 2,Blow/Flush condensate drain,,
Basic Service,Checklist Item 3,Clean/Wipe down evaporator coil,,
Basic Service,Checklist Item 4,Check pressures and temps,,
Basic Service,Checklist Item 5,Run and test system,,
,,,,
Premium Service,Title,Premium Mini Split AC Cleaning,,
Premium Service,Description,"This is our deepest clean. We wash every part, including the blower wheel and the drain pans. This service removes more dirt and helps your AC last much longer. It is the best choice for very fresh air.",,
Premium Service,Checklist Item 1,"Everything in Basic Service, PLUS:",,
Premium Service,Checklist Item 2,Deep Clean Air Scoop & Blower Wheel,,
Premium Service,Checklist Item 3,Deep Clean & Flush Condensate Pans,,
Premium Service,Checklist Item 4,Disassemble unit to access hidden dirt,,
Premium Service,Checklist Item 5,Maximized energy efficiency & lifespan,,
,,,,
Feature Grid,Deep Clean Title,Our Deep Clean Process,,
Feature Grid,Deep Clean Desc,"Dirt and dust can hide deep inside your AC unit, making it work harder and blowing dirty air into your home. Our deep clean process removes this hidden dirt, ensuring your unit runs efficiently and provides you with the cleanest air possible.",,
Feature Grid,Energy Title,Saving on Energy,,
Feature Grid,Energy Desc,"A clean AC unit doesn't have to work as hard to cool your home, which means it uses less energy. Regular maintenance, especially our premium service, can significantly lower your electricity bills and help your AC unit last longer without needing repairs.",,
Feature Grid,Air Quality Title,Better Air Quality,,
Feature Grid,Air Quality Desc,"Your AC unit circulates the air you breathe every day. If it's dirty, you're breathing in dust, mold, and allergens. Our thorough cleaning services remove these pollutants, improving the indoor air quality of your home and keeping your family healthy.",,
Feature Grid,Salt Dust Title,Hawaii Salt & Dust,,
Feature Grid,Salt Dust Desc,"Living in Hawaii means dealing with salt air and dust that can quickly corrode and clog your AC unit. Our specialized cleaning services target these specific issues, protecting your investment and ensuring your unit can withstand the unique challenges of our island environment.",,
