LG UNIVERSAL FIT / THROUGH THE WALL MODEL NUMBER SPECS & DETAILS,,,,,,,
Features,Feature Details,,,,,,
Universal Chassis Design: ,"Specifically engineered to fit standard 26"" wall sleeves from nearly all major manufacturers, allowing for a seamless replacement process with zero structural modification.",,,,,,
Heating & Cooling Dual-Mode: ,Provides high-capacity cooling for tropical summers and supplemental heating for cooler mountain nights or high-humidity winter cycles.,,,,,,
LG ThinQ® (Built-in Wi-Fi): ,Allows us to offer customers remote island-wide climate control and energy monitoring via their smartphones.,,,,,,
Gold Fin™ Anti-Corrosive Coating: ,An industrial-grade protective shield applied to the condenser fins to prevent salt-air oxidation—a critical requirement for Oahu’s coastal micro-climates.,,,,,,
Smart Diagnosis™:, Integrated system checks that communicate directly with the ThinQ app for rapid troubleshooting and maintenance verification.,,,,,,
Power Failure Auto-Restart:, Automatically restores the cooling/heating cycle following island power surges or brief utility outages.,,,,,,
,,,,,,,
Model Number,Capacity,Updated Coverage (Oahu Matrix),Performance Specs,Key Performance Spec,Noise Level (Low/High),Electrical,Dehumidification (Pts/Hr)
LW8023HRSM,"8,000 BTU",100–200 sq. ft. (Small Bedroom/Office),Dual-Climate,"Dual-Climate Optimization: Precision 7,000 BTU Heating.",53 / 58 dB,115V / 15 Amp,2.1 Pts/Hr
LW1823HRSM,"18,000 BTU",400+ sq. ft. (Open Floor Plan),ThinQ® Smart Control,High-Capacity Moisture Removal: 4.8 Pts/Hr extraction.,56 / 62 dB,208/230V / 20 Amp,4.8 Pts/Hr
LW2423HRSM,"23,500 BTU",400+ sq. ft. (Industrial Scale Open Plan),Industrial-Grade Cooling & Heating,"Supplemental 12,000 BTU Heating capacity.",58 / 64 dB,208/230V / 20 Amp,6.8 Pts/Hr
